time,.name,.pose,.twist
1970/01/01/09:00:08.100000,"['Floor', 'KHR-3HV']","[position: 
  x: 0.0
  y: 0.0
  z: -0.1
orientation: 
  x: 0.0
  y: 0.0
  z: 0.0
  w: 1.0, position: 
  x: -0.00213951056591
  y: -0.0061951150297
  z: 0.38154350225
orientation: 
  x: -7.8861635194e-05
  y: 0.000489401052798
  z: 0.0370793581333
  w: 0.9993122012]",[]
1970/01/01/09:00:08.100000,"['Floor', 'KHR-3HV']","[position: 
  x: 0.0
  y: 0.0
  z: -0.1
orientation: 
  x: 0.0
  y: 0.0
  z: 0.0
  w: 1.0, position: 
  x: -0.0022824634784
  y: -0.0061599731419
  z: 0.381539840918
orientation: 
  x: -7.30694690348e-05
  y: 0.000491868014374
  z: 0.0370876819647
  w: 0.99931189154]",[]
1970/01/01/09:00:08.110000,"['Floor', 'KHR-3HV']","[position: 
  x: 0.0
  y: 0.0
  z: -0.1
orientation: 
  x: 0.0
  y: 0.0
  z: 0.0
  w: 1.0, position: 
  x: -0.0022824634784
  y: -0.0061599731419
  z: 0.381539840918
orientation: 
  x: -7.30694690348e-05
  y: 0.000491868014374
  z: 0.0370876819647
  w: 0.99931189154]",[]
1970/01/01/09:00:08.130000,"['Floor', 'KHR-3HV']","[position: 
  x: 0.0
  y: 0.0
  z: -0.1
orientation: 
  x: 0.0
  y: 0.0
  z: 0.0
  w: 1.0, position: 
  x: -0.00236086448194
  y: -0.00614510039965
  z: 0.381534572666
orientation: 
  x: -6.76051959921e-05
  y: 0.000484637559791
  z: 0.0370612573045
  w: 0.999312875812]",[]
1970/01/01/09:00:08.140000,"['Floor', 'KHR-3HV']","[position: 
  x: 0.0
  y: 0.0
  z: -0.1
orientation: 
  x: 0.0
  y: 0.0
  z: 0.0
  w: 1.0, position: 
  x: -0.00236086448194
  y: -0.00614510039965
  z: 0.381534572666
orientation: 
  x: -6.76051959921e-05
  y: 0.000484637559791
  z: 0.0370612573045
  w: 0.999312875812]",[]
1970/01/01/09:00:08.150000,"['Floor', 'KHR-3HV']","[position: 
  x: 0.0
  y: 0.0
  z: -0.1
orientation: 
  x: 0.0
  y: 0.0
  z: 0.0
  w: 1.0, position: 
  x: -0.00234544530889
  y: -0.00615557270615
  z: 0.381528872564
orientation: 
  x: -5.94122077809e-05
  y: 0.000467865279799
  z: 0.0370528480594
  w: 0.999313196162]",[]
1970/01/01/09:00:08.160000,"['Floor', 'KHR-3HV']","[position: 
  x: 0.0
  y: 0.0
  z: -0.1
orientation: 
  x: 0.0
  y: 0.0
  z: 0.0
  w: 1.0, position: 
  x: -0.00228563328857
  y: -0.00619505806611
  z: 0.381524995599
orientation: 
  x: -5.40685167474e-05
  y: 0.000452610712325
  z: 0.0370344281427
  w: 0.9993138863]",[]
1970/01/01/09:00:08.170000,"['Floor', 'KHR-3HV']","[position: 
  x: 0.0
  y: 0.0
  z: -0.1
orientation: 
  x: 0.0
  y: 0.0
  z: 0.0
  w: 1.0, position: 
  x: -0.00228563328857
  y: -0.00619505806611
  z: 0.381524995599
orientation: 
  x: -5.40685167474e-05
  y: 0.000452610712325
  z: 0.0370344281427
  w: 0.9993138863]",[]
1970/01/01/09:00:08.180000,"['Floor', 'KHR-3HV']","[position: 
  x: 0.0
  y: 0.0
  z: -0.1
orientation: 
  x: 0.0
  y: 0.0
  z: 0.0
  w: 1.0, position: 
  x: -0.00228563328857
  y: -0.00619505806611
  z: 0.381524995599
orientation: 
  x: -5.40685167474e-05
  y: 0.000452610712325
  z: 0.0370344281427
  w: 0.9993138863]",[]
1970/01/01/09:00:08.190000,"['Floor', 'KHR-3HV']","[position: 
  x: 0.0
  y: 0.0
  z: -0.1
orientation: 
  x: 0.0
  y: 0.0
  z: 0.0
  w: 1.0, position: 
  x: -0.00217969190381
  y: -0.00629049976498
  z: 0.381520491886
orientation: 
  x: -4.82817611371e-05
  y: 0.000431798939394
  z: 0.0370709095176
  w: 0.999312543145]",[]
